t,l,x,y,z,Unnamed: 5
278,1,-0.98,-0.04,0.0,
280,1,-0.98,-0.04,0.0,
281,1,-0.98,-0.04,0.0,
283,1,-0.98,-0.03,0.0,
285,1,-0.98,-0.03,0.0,
286,1,-0.98,-0.03,0.0,
288,1,-0.98,-0.03,0.0,
290,1,-0.98,-0.03,0.0,
291,1,-0.98,-0.03,0.0,
293,1,-0.98,-0.03,-0.01,
295,1,-0.98,-0.03,-0.01,
296,1,-0.98,-0.03,-0.01,
298,1,-0.98,-0.03,-0.01,
300,1,-0.98,-0.03,-0.01,
301,1,-0.98,-0.03,-0.01,
303,1,-0.98,-0.03,-0.01,
305,1,-0.98,-0.03,-0.01,
306,1,-0.98,-0.03,-0.01,
308,1,-0.98,-0.03,-0.01,
310,1,-0.98,-0.03,-0.01,
311,1,-0.98,-0.03,-0.01,
313,1,-0.98,-0.04,0.01,
315,1,-0.98,-0.04,0.01,
316,1,-0.98,-0.04,0.01,
318,1,-0.98,-0.04,0.01,
320,1,-0.98,-0.04,0.01,
321,1,-0.98,-0.04,0.01,
323,1,-0.98,-0.04,0.01,
325,1,-0.98,-0.04,0.01,
326,1,-0.98,-0.04,0.01,
328,1,-0.98,-0.04,0.01,
330,1,-0.98,-0.04,0.01,
331,1,-0.98,-0.04,0.01,
333,1,-0.99,-0.05,0.01,
335,1,-0.99,-0.05,0.01,
336,1,-0.99,-0.05,0.01,
338,1,-0.99,-0.05,0.01,
339,1,-0.99,-0.05,0.01,
341,1,-0.99,-0.05,0.01,
343,1,-0.99,-0.05,0.01,
344,1,-0.99,-0.05,0.01,
346,1,-0.99,-0.05,0.01,
348,1,-0.99,-0.05,0.01,
349,1,-0.99,-0.05,0.01,
351,1,-0.99,-0.05,-0.01,
353,1,-0.98,-0.04,-0.01,
354,1,-0.98,-0.04,-0.01,
356,1,-0.98,-0.04,-0.01,
358,1,-0.98,-0.04,-0.01,
359,1,-0.98,-0.04,-0.01,
361,1,-0.98,-0.03,-0.01,
363,1,-0.98,-0.03,-0.01,
364,1,-0.98,-0.03,-0.01,
366,1,-0.98,-0.03,-0.01,
368,1,-0.98,-0.03,-0.01,
369,1,-0.98,-0.03,-0.01,
371,1,-0.98,-0.03,-0.01,
373,1,-0.98,-0.03,-0.01,
374,1,-0.98,-0.03,-0.01,
376,1,-0.98,-0.03,-0.01,
378,1,-0.98,-0.03,-0.01,
379,1,-0.98,-0.03,-0.01,
381,1,-0.98,-0.03,-0.01,
383,1,-0.98,-0.03,-0.01,
384,1,-0.98,-0.03,-0.01,
386,1,-0.98,-0.03,-0.01,
388,1,-0.98,-0.03,-0.01,
389,1,-0.98,-0.03,-0.01,
391,1,-0.98,-0.04,-0.02,
393,1,-0.98,-0.04,-0.02,
394,1,-0.98,-0.04,-0.02,
396,1,-0.98,-0.04,-0.02,
398,1,-0.98,-0.04,-0.02,
399,1,-0.98,-0.04,-0.02,
401,1,-0.98,-0.04,-0.02,
403,1,-0.98,-0.04,-0.02,
404,1,-0.98,-0.04,-0.02,
406,1,-0.98,-0.04,-0.02,
408,1,-0.98,-0.04,-0.02,
409,1,-0.98,-0.04,-0.02,
411,1,-0.99,-0.05,-0.01,
413,1,-0.99,-0.05,-0.01,
414,1,-0.99,-0.05,-0.01,
416,1,-0.99,-0.05,-0.01,
418,1,-0.99,-0.05,-0.01,
419,1,-0.99,-0.05,-0.01,
421,1,-0.99,-0.06,0.0,
423,1,-0.99,-0.06,0.0,
424,1,-0.99,-0.06,0.0,
426,1,-0.99,-0.06,0.0,
428,1,-0.99,-0.06,0.0,
429,1,-0.99,-0.06,0.0,
431,1,-0.98,-0.05,0.01,
432,1,-0.98,-0.05,0.01,
434,1,-0.98,-0.05,0.01,
436,1,-0.98,-0.05,0.01,
437,1,-0.98,-0.05,0.01,
439,1,-0.98,-0.04,0.02,
441,1,-0.98,-0.04,0.02,
442,1,-0.98,-0.04,0.02,
444,1,-0.98,-0.04,0.02,
446,1,-0.98,-0.04,0.02,
447,1,-0.98,-0.04,0.02,
449,1,-0.97,-0.03,0.02,
451,1,-0.97,-0.03,0.02,
452,1,-0.97,-0.03,0.02,
454,1,-0.97,-0.03,0.02,
456,1,-0.97,-0.03,0.02,
457,1,-0.97,-0.03,0.02,
459,1,-0.96,-0.03,0.02,
461,1,-0.96,-0.03,0.02,
462,1,-0.96,-0.03,0.02,
464,1,-0.96,-0.03,0.02,
466,1,-0.96,-0.03,0.02,
467,1,-0.96,-0.03,0.02,
469,1,-0.97,-0.03,0.0,
471,1,-0.97,-0.03,0.0,
472,1,-0.97,-0.03,0.0,
474,1,-0.97,-0.03,0.0,
476,1,-0.97,-0.03,0.0,
477,1,-0.97,-0.03,0.0,
479,1,-0.98,-0.04,-0.01,
481,1,-0.98,-0.04,-0.01,
482,1,-0.98,-0.04,-0.01,
484,1,-0.98,-0.04,-0.01,
486,1,-0.98,-0.04,-0.01,
487,1,-0.98,-0.04,-0.01,
489,1,-0.98,-0.05,-0.02,
491,1,-0.98,-0.05,-0.02,
492,1,-0.98,-0.05,-0.02,
494,1,-0.98,-0.05,-0.02,
496,1,-0.98,-0.05,-0.02,
497,1,-0.98,-0.05,-0.02,
499,1,-0.98,-0.05,-0.02,
501,1,-0.98,-0.05,-0.02,
502,1,-0.98,-0.05,-0.02,
504,1,-0.98,-0.05,-0.02,
506,1,-0.98,-0.05,-0.02,
507,1,-0.98,-0.05,-0.02,
509,1,-0.99,-0.05,-0.01,
511,1,-0.99,-0.05,-0.01,
512,1,-0.99,-0.05,-0.01,
514,1,-0.99,-0.05,-0.01,
516,1,-0.99,-0.05,-0.01,
