Accuracy,Precision,Sensitivity,Specificity,F1
0.7777777777777778,0.8571428571428572,0.7625,0.8,0.8285714285714285
0.5,0.8636363636363636,0.75,1.0,0.8056680161943319
0.9375,1.0,0.875,1.0,0.873015873015873
0.8125,0.25,0.8125,0.75,0.3333333333333333
0.625,0.7181818181818183,0.625,1.0,0.6761133603238867
