Accuracy,Precision,Sensitivity,Specificity,F1
0.8333333333333334,0.8376623376623377,0.825,0.9,0.8285714285714285
0.8125,0.8636363636363636,0.8125,0.625,0.8056680161943319
1.0,1.0,1.0,1.0,1.0
0.75,0.7666666666666666,0.75,0.625,0.746031746031746
0.6875,0.7181818181818183,0.6875,0.875,0.6761133603238867
