Model,Accuracy,Precision,Sensitivity,Specificity,F1
Logistic Regression,0.6159170637051824,0.6152848132212126,0.6209480758214557,0.6785951770793288,0.6027021959022567
Support Vector Machine,0.5548613472023547,0.5484645326811842,0.5513487198101562,0.582545142396474,0.5404784085656981
Random Forest,0.6444304506721779,0.6371034025937105,0.6456874366660084,0.6878288513720088,0.6328761625010119
"ANN (1,1)",0.5936777124871393,0.6147154686587631,0.5841436398338677,0.7474999999999999,0.4817773803958708
"ANN (1,2)",0.6206846264828815,0.6121739262840851,0.5655047195270158,0.6596348169220286,0.5516222084106296
"ANN (1,3)",0.6044350019137902,0.6179383734439355,0.632596027831042,0.6582578404684025,0.6144576911632613
"ANN (1,4)",0.6153584256048409,0.6268822441260999,0.6236155977542495,0.6721961349564363,0.6056666516336241
"ANN (1,5)",0.6129842414388522,0.6119467580843838,0.6203160706518291,0.6534436227919429,0.6031578069822963
"ANN (2,1)",0.6310125692992169,0.5349492981977784,0.652444837330582,0.7680701597060636,0.6086892618891355
"ANN (2,2)",0.6207507563770239,0.6256202837444567,0.5981429081450845,0.6698681793284035,0.6061780148231163
"ANN (2,3)",0.6183888398815464,0.6191807202446086,0.6261098167105656,0.6386014086253068,0.6077737016025034
"ANN (2,4)",0.6239203593098986,0.6198640771714896,0.6214494741236283,0.6581526821706852,0.6179837569092737
"ANN (2,5)",0.6134289464355904,0.6281548050092446,0.6243549672836047,0.6649680244349357,0.6026096908769135
"ANN (3,1)",0.6414083989818485,0.6066375683919967,0.6311356879524941,0.655393451633224,0.5319380461319787
"ANN (3,2)",0.6056040844046097,0.6060712896097721,0.6150551396960638,0.6413064837185815,0.5954851945428403
"ANN (3,3)",0.6303773516693758,0.606401625348141,0.633275119036685,0.6665408871200038,0.605994009169088
"ANN (3,4)",0.6124441596244339,0.6123877863637764,0.6257831473584302,0.6339824775226793,0.6040037124282109
"ANN (3,5)",0.6219673157531157,0.6236521276803024,0.6271093001633984,0.6604660925640858,0.6009905670385727
"ANN (4,1)",0.6208127528130468,0.5096326539549877,0.6188022490177592,0.6550073446457437,0.6057398153167811
"ANN (4,2)",0.6315252306940715,0.617278860401893,0.6294487440402325,0.6560823200881978,0.6228307952228065
"ANN (4,3)",0.6286577437601237,0.6106457745181444,0.6165226415710215,0.6475162976258144,0.6071387448674939
"ANN (4,4)",0.6241480988555026,0.6317219346534662,0.6212096005643757,0.6532480893120737,0.5997713220820543
"ANN (4,5)",0.6244520950858027,0.6211746436597526,0.6138319248005302,0.6463435846296414,0.6099777252331677
"ANN (5,1)",0.6366529938222484,0.6168333630553509,0.6275662617110266,0.6496869803087826,0.5813655979487272
"ANN (5,2)",0.6310339883706781,0.6154837296140333,0.6313903530930317,0.6482841026019862,0.6095608250285549
"ANN (5,3)",0.621175538595206,0.6284170306434387,0.630786911446139,0.6635078015308216,0.6149576807656287
"ANN (5,4)",0.6303721394009241,0.6188573280581188,0.6318933486971654,0.649896833735687,0.5941623993482859
"ANN (5,5)",0.6248887533528971,0.6070602715611153,0.6282679967542458,0.6626649271355369,0.6034011306585574
