Model,Accuracy,Precision,Sensitivity,Specificity,F1
Logistic Regression,0.5864150501249087,0.5871022404522833,0.5909306481949115,0.6604372317532619,0.5723483729062916
Support Vector Machine,0.5317441666570961,0.5290466500918829,0.5303485217644479,0.558706066564812,0.5193737169749101
Random Forest,0.6216650588488302,0.6188390363703372,0.6299040320280831,0.6738907135902192,0.6130078250713971
"ANN (1,1)",0.6044249547867359,0.5801030050042508,0.5738229859819229,0.40347523784106426,0.4669422435763978
"ANN (1,2)",0.6141581479192637,0.5958249806823224,0.5682749726915184,0.649318453519862,0.5328216614724257
"ANN (1,3)",0.5975271166347641,0.5961225093465433,0.5924296537633438,0.6403273372259226,0.5569558306920911
"ANN (1,4)",0.5759803769279621,0.5672771159795822,0.6012642325433086,0.6408983079295532,0.5853938382441003
"ANN (1,5)",0.5837388885119218,0.6043809184778958,0.610641021625962,0.663958131722145,0.5846993593992511
"ANN (2,1)",0.5628104571704657,0.5878649227895998,0.5937761793751497,0.6217072688738687,0.5348461129434758
"ANN (2,2)",0.5758794525061529,0.5885614447402393,0.6024522970082712,0.6280937503239817,0.5837485026549019
"ANN (2,3)",0.5982239627637167,0.5994882556431506,0.5977270662688902,0.6157881108132126,0.5923021952050018
"ANN (2,4)",0.5994086074117144,0.6053709452500134,0.5939906863262127,0.6517517598197673,0.5931585900515779
"ANN (2,5)",0.5962367927314907,0.5984344363491368,0.6050821223429764,0.6189945817775703,0.5746068211478257
"ANN (3,1)",0.6050451474102652,0.5906796474571716,0.6010481069325515,0.6331006630870537,0.5984305592484489
"ANN (3,2)",0.6016778324324288,0.5858591641672669,0.5949103086161871,0.6342474971103995,0.584926659803736
"ANN (3,3)",0.6037184419569799,0.5830910430788343,0.6003258055342643,0.6394248183149049,0.5904988428508398
"ANN (3,4)",0.5890875439496306,0.5857470855106776,0.5979775716822544,0.647202142932813,0.583452438459816
"ANN (3,5)",0.6008389069352351,0.5825139724982868,0.6060699453950809,0.6628918169848249,0.5825567747601323
"ANN (4,1)",0.6062530686108827,0.5997287095855857,0.5831340358571057,0.6608842524487457,0.5963804791182329
"ANN (4,2)",0.601799094653317,0.5936364829498848,0.6041228544564821,0.6503758736229759,0.5955903755336289
"ANN (4,3)",0.5978918504966069,0.5939479351130996,0.5939321151619176,0.6467497876753275,0.5822559195408841
"ANN (4,4)",0.6056697003935549,0.594762999971921,0.6073923440805993,0.6495640208635042,0.5896038380001057
"ANN (4,5)",0.6052580793301258,0.6028747277680029,0.6046800755088271,0.6479195864016882,0.5879738400786884
"ANN (5,1)",0.6078282394032832,0.5994341749448765,0.6080240578665581,0.6604778756957944,0.5952761233795417
"ANN (5,2)",0.6013473428287421,0.5870941536556299,0.6049347699164247,0.6584978213047097,0.5758772037407747
"ANN (5,3)",0.6165952479469565,0.6010782187227363,0.6037408640120858,0.6616328546428836,0.5997876048640134
"ANN (5,4)",0.601542845784033,0.608938131826103,0.5966510046026792,0.663079177168693,0.600198696687724
"ANN (5,5)",0.6064065800759056,0.5966718041989578,0.6101531888295788,0.644207267746488,0.6036521623027953
