Model,Accuracy,Precision,Sensitivity,Specificity,F1
Logistic Regression,0.6290691681731945,0.617107454386481,0.6209324379819774,0.6794950194895961,0.6143515783600527
Support Vector Machine,0.5616206614257235,0.5517014900795211,0.5537484327765114,0.5880694683384199,0.548250693388936
Random Forest,0.644370554595735,0.6364178483439445,0.6370313087248873,0.6924073516411282,0.6312681611183717
"ANN (1,1)",0.5666235649537907,0.5233996981039354,0.6202870915480696,0.7973043544007407,0.5472141123546747
"ANN (1,2)",0.5572985278022057,0.6065556762173948,0.5687776846369722,0.649517171604151,0.5388936383344454
"ANN (1,3)",0.6085155210713663,0.613784035544548,0.6244643855532017,0.6572319591593841,0.5918891265992363
"ANN (1,4)",0.6168087212117935,0.600869968563856,0.6071046597302149,0.6668151750063713,0.6076804985354782
"ANN (1,5)",0.6201024147843885,0.6062880555345231,0.608448494110992,0.6630509529400556,0.5995646279089955
"ANN (2,1)",0.6228425703486928,0.5352527595407418,0.606015234214792,0.7262093064229636,0.6084449631865624
"ANN (2,2)",0.643204090230945,0.6106800814015803,0.6247372118549631,0.6806446346571827,0.6116187944236051
"ANN (2,3)",0.6280090072673767,0.6048077718470676,0.6194875003817836,0.6591633242883269,0.6093573739887016
"ANN (2,4)",0.6273802960587298,0.6120423397129798,0.6241644326049905,0.6534994349561277,0.6060974457397876
"ANN (2,5)",0.6130984452223773,0.6160763187900906,0.6151601647566058,0.6509247521777561,0.6237707143265865
"ANN (3,1)",0.6277351925665033,0.6173378993845627,0.6137541850206581,0.6465931127085881,0.6162984646259277
"ANN (3,2)",0.6232881680058282,0.6206791958707525,0.6262531736283389,0.6646920071582124,0.6158179181710463
"ANN (3,3)",0.636539900237705,0.6212814744111872,0.6183541729167964,0.6496613679724991,0.6021821761440703
"ANN (3,4)",0.6177924352576837,0.6202817548987323,0.6217338085644091,0.6581818362145839,0.60957251434411
"ANN (3,5)",0.6267587795358087,0.6111519715839949,0.618599621760852,0.6588554256802441,0.6211005786229276
"ANN (4,1)",0.5858276184924376,0.6222995547936546,0.6164675674286161,0.6742756346114789,0.6163122670058744
"ANN (4,2)",0.6293531507488395,0.6218012275083986,0.637683293020714,0.6755317549163817,0.6088296186247842
"ANN (4,3)",0.6202951968288324,0.6141941638481319,0.6096603343829352,0.6684066291091476,0.6194404447141693
"ANN (4,4)",0.6241799918388785,0.6145644935167803,0.6374493759975802,0.6453129146735856,0.6094360631157136
"ANN (4,5)",0.6301462323276246,0.6194756673950327,0.6158967814344292,0.6534320022499793,0.6221483783751155
"ANN (5,1)",0.6189311721989273,0.5402827654536135,0.6243133546025403,0.658598839998252,0.5573336994723995
"ANN (5,2)",0.6297306699520375,0.6169806241111225,0.6262457403727961,0.6609587710528677,0.6246384619480193
"ANN (5,3)",0.625384992068202,0.6210417694615085,0.621405774882951,0.6663784751479043,0.613334366225471
"ANN (5,4)",0.6221267873322149,0.6196399406359486,0.6153608290775218,0.6562788990925364,0.6101030073055481
"ANN (5,5)",0.6224612665781043,0.6245311901222916,0.622616823988919,0.6649920235059138,0.6012850049630958
