t,l,x,y,z,
2759766,0,-0.99,-0.06,0,
2759768,0,-0.99,-0.06,0,
2759769,0,-0.99,-0.06,0,
2759771,0,-0.95,-0.05,-0.02,
2759773,0,-0.95,-0.05,-0.02,
2759774,0,-0.95,-0.05,-0.02,
2759776,0,-0.95,-0.05,-0.02,
2759778,0,-0.95,-0.05,-0.02,
2759779,0,-0.95,-0.05,-0.02,
2759781,0,-0.96,-0.05,-0.04,
2759783,0,-0.96,-0.05,-0.04,
2759784,0,-0.96,-0.05,-0.04,
2759786,0,-0.96,-0.05,-0.04,
2759788,0,-0.96,-0.05,-0.04,
2759789,0,-0.96,-0.05,-0.04,
2759791,0,-0.99,-0.06,-0.02,
2759793,0,-0.99,-0.06,-0.02,
2759794,0,-0.99,-0.06,-0.02,
2759796,0,-0.99,-0.06,-0.02,
2759798,0,-0.99,-0.06,-0.02,
2759799,0,-0.99,-0.06,-0.02,
2759801,0,-0.97,-0.05,-0.01,
2759803,0,-0.97,-0.05,-0.01,
2759804,0,-0.97,-0.05,-0.01,
2759806,0,-0.97,-0.05,-0.01,
2759808,0,-0.97,-0.05,-0.01,
2759809,0,-0.97,-0.05,-0.01,
2759811,0,-0.97,-0.04,-0.01,
2759813,0,-0.97,-0.04,-0.01,
2759814,0,-0.97,-0.04,-0.01,
2759816,0,-0.97,-0.04,-0.01,
2759818,0,-0.97,-0.04,-0.01,
2759819,0,-0.97,-0.06,0,
2759821,0,-0.98,-0.06,0,
2759823,0,-0.98,-0.06,0,
2759824,0,-0.98,-0.06,0,
2759826,0,-0.98,-0.06,0,
2759828,0,-0.98,-0.06,0,
2759829,0,-0.98,-0.06,-0.01,
2759831,0,-0.98,-0.06,-0.01,
2759833,0,-0.98,-0.06,-0.01,
2759835,0,-0.98,-0.06,-0.01,
2759836,0,-0.98,-0.06,-0.01,
2759838,0,-0.98,-0.06,-0.01,
2759840,0,-0.97,-0.06,-0.01,
2759841,0,-0.97,-0.06,-0.01,
2759843,0,-0.97,-0.06,-0.01,
2759845,0,-0.97,-0.06,-0.01,
2759846,0,-0.97,-0.06,-0.01,
2759848,0,-0.97,-0.06,-0.01,
2759849,0,-0.98,-0.06,-0.03,
2759851,0,-0.98,-0.06,-0.03,
2759853,0,-0.98,-0.06,-0.03,
2759854,0,-0.98,-0.06,-0.03,
2759856,0,-0.98,-0.06,-0.03,
2759858,0,-0.98,-0.06,-0.03,
2759859,0,-0.99,-0.05,-0.02,
2759861,0,-0.99,-0.05,-0.02,
2759863,0,-0.99,-0.05,-0.02,
2759864,0,-0.99,-0.05,-0.02,
2759866,0,-0.99,-0.05,-0.02,
2759868,0,-0.99,-0.05,-0.02,
2759869,0,-0.98,-0.05,-0.01,
2759871,0,-0.98,-0.05,-0.01,
2759873,0,-0.98,-0.05,-0.01,
2759874,0,-0.98,-0.05,-0.01,
2759876,0,-0.98,-0.05,-0.01,
2759878,0,-0.98,-0.05,-0.01,
2759879,0,-0.97,-0.04,-0.01,
2759881,0,-0.97,-0.04,-0.01,
2759883,0,-0.97,-0.04,-0.01,
2759884,0,-0.97,-0.04,-0.01,
2759886,0,-0.97,-0.04,-0.01,
2759888,0,-0.97,-0.04,-0.01,
2759889,0,-0.98,-0.04,-0.01,
2759891,0,-0.98,-0.04,-0.01,
2759893,0,-0.98,-0.04,-0.01,
2759894,0,-0.98,-0.04,-0.01,
2759896,0,-0.98,-0.04,-0.01,
2759898,0,-0.98,-0.05,-0.01,
2759899,0,-0.98,-0.05,-0.01,
2759901,0,-0.98,-0.05,-0.01,
2759903,0,-0.98,-0.05,-0.01,
2759904,0,-0.98,-0.05,-0.01,
2759906,0,-0.98,-0.05,-0.01,
2759908,0,-0.99,-0.05,-0.01,
2759909,0,-0.99,-0.05,-0.01,
2759911,0,-0.99,-0.05,-0.01,
2759913,0,-0.99,-0.05,-0.01,
2759914,0,-0.99,-0.05,-0.01,
2759916,0,-0.99,-0.05,-0.01,
2759918,0,-0.98,-0.05,-0.03,
2759919,0,-0.98,-0.05,-0.03,
2759921,0,-0.98,-0.05,-0.03,
2759923,0,-0.98,-0.05,-0.03,
2759924,0,-0.98,-0.05,-0.03,
